ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Text_ID,Sentence_Number,Language_ID,OTC_ID,LGR_Conformance,Abbreviations
jama1261a-01-03-1,"ahi, Bahiteba hiwa awematamonaka",Bahi	Bahi-tee-ba	hiwa	awa-himata-mona-ka,Bahi(M)	Bahi(M)-HAB-FUT	3SG.REFL.M	sentir-PD.N.M-REP.M-DECL.M,Bahi teve sua primeira menstruação.,01-03,1,jama1261,jama1261a,WORD_ALIGNED,"{""HAB"": ""habitual"", ""FUT"": ""futuro"", ""SG"": ""singular"", ""REFL"": ""reflexivo"", ""PD"": ""passado distante"", ""REP"": ""reportativo"", ""DECL"": ""declarativo""}"
jama1261a-01-03-2,"ahi hiwa awe hohoma toematamonaka wami ya tobokorisari, noko tama nari waha",Bahi	hiwa	awe	ho-homa	to-ha-himata-mona-ka	wami	ya	to-bako-risa-haari	noko	tama	na-haari	waha,Bahi(M)	3SG.REFL.M	sentir.M	DUP-deitar_na_terra	INC-AUX-PD.N.M-REP.M-DECL.M	terra(F)	ADJU	INC-ser_côncavo-para_baixo-PI.T.M	rosto.M	segurar	AUX-PI.T.M	agora,"Bahi teve a primeira menstruação. Ele estava deitado de bruços, segurando o rosto com as mãos.",01-03,2,jama1261,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""REFL"": ""reflexivo"", ""DUP"": ""reduplica\u00e7\u00e3o"", ""INC"": ""incoativo"", ""AUX"": ""auxiliar"", ""PD"": ""passado distante"", ""REP"": ""reportativo"", ""DECL"": ""declarativo"", ""ADJU"": ""adjunto"", ""PI"": ""passado imediato""}"
jama1261a-01-03-3,ai mera aawa toarematamonaka,Bahi	mera	a-awa	to-ha-ra-himata-mona-ka,Bahi(M)	3PL.O	DUP-ver	INC-AUX-NEG-PD.N.M-REP.M-DECL.M,Ele não olhava para os outros.,01-03,3,jama1261,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""DUP"": ""reduplica\u00e7\u00e3o"", ""INC"": ""incoativo"", ""AUX"": ""auxiliar"", ""NEG"": ""negativo"", ""PD"": ""passado distante"", ""REP"": ""reportativo"", ""DECL"": ""declarativo""}"
jama1261a-01-03-4,"ahi hine ya totonokowiti toematamonaka mera kakatomarari, meteba mera kanawanahari me fanawi, me fanawiteba kanawanahari",Bahi	hine	ya	to-to-noko-witi	to-ha-himata-mona-ka	mera	ka-katoma-ra-haari	me-tee-ba	mera	kanawana-haari	me	fanawi	me	fanawi-tee-ba	kanawana-haari,Bahi(M)	só	ADJU	DUP-para_lá-apontar-para_fora	INC-AUX-PD.N.M-REP.M-DECL.M	3PL.O	COMIT-olhar-NEG-PI.T.M	3PL-HAB-FUT	3PL.O	ensinar-PI.T.M	3PL	mulher	3PL.O	mulher-HAB-FUT	ensinar-PI.T.M,"Bahi estava sempre virado para o outro lado, para não olhar eles. Ele estava ensinando as moças.",01-03,4,jama1261,jama1261a,WORD_ALIGNED,"{""ADJU"": ""adjunto"", ""DUP"": ""reduplica\u00e7\u00e3o"", ""INC"": ""incoativo"", ""AUX"": ""auxiliar"", ""PD"": ""passado distante"", ""REP"": ""reportativo"", ""DECL"": ""declarativo"", ""PL"": ""plural"", ""COMIT"": ""comitativo"", ""NEG"": ""negativo"", ""PI"": ""passado imediato"", ""HAB"": ""habitual"", ""FUT"": ""futuro""}"
jama1261a-01-03-5,"e ha hine, me ha hine yamata wara tokarihi",me	haa	hi-ne	me	haa	hi-ne	yamata	wara	to-ka-rihi,3PL.S	chamar	OC-AUX.M	3PL.S	chamar	OC-AUX.M	comida(F)	agarrar	INC-COMIT-NEG.LIST,"Eles o chamaram, mas ele não aceitou comida.",01-03,5,jama1261,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""OC"": ""constru\u00e7\u00e3o `O'"", ""AUX"": ""auxiliar"", ""INC"": ""incoativo"", ""COMIT"": ""comitativo"", ""NEG"": ""negativo"", ""LIST"": ""constru\u00e7\u00e3o de lista""}"
jama1261a-01-03-6,"itefeba, otefeba tikawata",ti-tefe-ba	o-tefe-ba	ti-ka-wata,2SG.POSS-comida-FUT	1SG.POSS-comida-FUT	2SG.S-COMIT-estar_localizado,{``}Deixe a minha comida no chão.'',01-03,6,jama1261,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""POSS"": ""possessivo/possuidor"", ""FUT"": ""futuro"", ""COMIT"": ""comitativo""}"
jama1261a-01-03-7,"ama owakitihaba awine, Bahi ati nematamonaka",yama	o-ka-iti-haba	awine	Bahi	ati	na-himata-mona-ka,coisa(F)	1SG.S-COMIT-pegar-FUT.F	parece.F	Bahi(M)	dizer	AUX-PD.N.M-REP.M-DECL.M,"{``}Mais tarde vou pegar,'' disse Bahi.",01-03,7,jama1261,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""COMIT"": ""comitativo"", ""FUT"": ""futuro"", ""AUX"": ""auxiliar"", ""PD"": ""passado distante"", ""REP"": ""reportativo"", ""DECL"": ""declarativo""}"
jama1261a-01-03-8,ama okobaba awine,yama	o-kaba-haba	awine,coisa(F)	1SG.S-comer-FUT.F	parece.F,{``}Vou comer.'',01-03,8,jama1261,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""FUT"": ""futuro""}"
jama1261a-01-03-9,ami hiri ni onofari,wami	hiri	ni	o-nofa-ri,breu.sp(F)	pegar_fogo	AUX.NFIN	1SG.S-querer-NEG.NOM.F,{``}Não quero uma tocha.'',01-03,9,jama1261,jama1261a,WORD_ALIGNED,"{""AUX"": ""auxiliar"", ""NFIN"": ""ora\u00e7\u00e3o n\u00e3o finita"", ""SG"": ""singular"", ""NEG"": ""negativo"", ""NOM"": ""ora\u00e7\u00e3o nominalizada""}"
jama1261a-01-03-10,"ama soki ya otafaba owa awine o, Bahi ati nematamonane, aati toematamonaka",yama	soki	ya	o-tafa-haba	owa	awine	o	Bahi	ati	na-himata-mona-ne	a-ati	to-ha-himata-mona-ka,coisa(F)	ser_escuro.NOM	ADJU	1SG.S-comer-FUT.F	1SG.S	parece.F	1SG.S	Bahi(M)	dizer	AUX-PD.N.M-REP.M-ALT.M	DUP-dizer	INC-AUX-PD.N.M-REP.M-DECL.M,"{``}Vou comer no escuro,'' Bahi dizia.",01-03,10,jama1261,jama1261a,WORD_ALIGNED,"{""NOM"": ""ora\u00e7\u00e3o nominalizada"", ""ADJU"": ""adjunto"", ""SG"": ""singular"", ""FUT"": ""futuro"", ""AUX"": ""auxiliar"", ""PD"": ""passado distante"", ""REP"": ""reportativo"", ""ALT"": ""modo alternativo"", ""DUP"": ""reduplica\u00e7\u00e3o"", ""INC"": ""incoativo"", ""DECL"": ""declarativo""}"
